Entity,Code,Year,Prevalence
Afghanistan,AFG,2019,17.12
Albania,ALB,2019,11.56
Algeria,DZA,2019,14.78
American Samoa,ASM,2019,11.24
Andorra,AND,2019,15.5
Angola,AGO,2019,13.34
Antigua and Barbuda,ATG,2019,14.18
Argentina,ARG,2019,13.6
Armenia,ARM,2019,11.38
Australia,AUS,2019,19.35
Austria,AUT,2019,15.82
Azerbaijan,AZE,2019,10.42
Bahamas,BHS,2019,14.16
Bahrain,BHR,2019,14.57
Bangladesh,BGD,2019,11.8
Barbados,BRB,2019,14.38
Belarus,BLR,2019,12.57
Belgium,BEL,2019,14.96
Belize,BLZ,2019,14.33
Benin,BEN,2019,11.85
Bermuda,BMU,2019,14.52
Bhutan,BTN,2019,12.07
Bolivia,BOL,2019,15.06
Bosnia and Herzegovina,BIH,2019,11.51
Botswana,BWA,2019,11.87
Brazil,BRA,2019,16.72
Brunei,BRN,2019,10.36
Bulgaria,BGR,2019,11.14
Burkina Faso,BFA,2019,11.66
Burundi,BDI,2019,13.09
Cambodia,KHM,2019,12.36
Cameroon,CMR,2019,11.89
Canada,CAN,2019,14.95
Cape Verde,CPV,2019,12.13
Central African Republic,CAF,2019,14.65
Chad,TCD,2019,12.65
Chile,CHL,2019,15.2
China,CHN,2019,11.31
Colombia,COL,2019,12.05
Comoros,COM,2019,12.23
Congo,COG,2019,13.04
Cook Islands,COK,2019,11.65
Costa Rica,CRI,2019,13.01
Cote d'Ivoire,CIV,2019,11.19
Croatia,HRV,2019,11.69
Cuba,CUB,2019,15.15
Cyprus,CYP,2019,15.7
Czechia,CZE,2019,11.14
Democratic Republic of Congo,COD,2019,13.64
Denmark,DNK,2019,14.1
Djibouti,DJI,2019,12.04
Dominica,DMA,2019,14.28
Dominican Republic,DOM,2019,15.04
Ecuador,ECU,2019,14.59
Egypt,EGY,2019,14.58
El Salvador,SLV,2019,13.24
Equatorial Guinea,GNQ,2019,13.21
Eritrea,ERI,2019,12.92
Estonia,EST,2019,12.19
Eswatini,SWZ,2019,11.93
Ethiopia,ETH,2019,12.48
Fiji,FJI,2019,11.54
Finland,FIN,2019,14.96
France,FRA,2019,16.63
Gabon,GAB,2019,13.11
Gambia,GMB,2019,13.05
Georgia,GEO,2019,11.06
Germany,DEU,2019,15
Ghana,GHA,2019,11.4
Greece,GRC,2019,17.05
Greenland,GRL,2019,17.54
Grenada,GRD,2019,14.37
Guam,GUM,2019,11.59
Guatemala,GTM,2019,13.23
Guinea,GIN,2019,11.85
Guinea-Bissau,GNB,2019,11.77
Guyana,GUY,2019,15.81
Haiti,HTI,2019,15.13
Honduras,HND,2019,12.71
Hungary,HUN,2019,11.31
Iceland,ISL,2019,14.6
India,IND,2019,13.73
Indonesia,IDN,2019,10.68
Iran,IRN,2019,18.89
Iraq,IRQ,2019,14.91
Ireland,IRL,2019,17.61
Israel,ISR,2019,14.48
Italy,ITA,2019,15.03
Jamaica,JAM,2019,14.02
Japan,JPN,2019,10.58
Jordan,JOR,2019,15.04
Kazakhstan,KAZ,2019,10.61
Kenya,KEN,2019,12.34
Kiribati,KIR,2019,12.22
Kuwait,KWT,2019,14.05
Kyrgyzstan,KGZ,2019,11.26
Laos,LAO,2019,12.04
Latvia,LVA,2019,12.62
Lebanon,LBN,2019,16.44
Lesotho,LSO,2019,13.31
Liberia,LBR,2019,12.49
Libya,LBY,2019,15.4
Lithuania,LTU,2019,13.25
Luxembourg,LUX,2019,14.91
Madagascar,MDG,2019,13.04
Malawi,MWI,2019,12.5
Malaysia,MYS,2019,12.23
Maldives,MDV,2019,11.07
Mali,MLI,2019,10.57
Malta,MLT,2019,15.72
Marshall Islands,MHL,2019,11.86
Mauritania,MRT,2019,10.58
Mauritius,MUS,2019,11.86
Mexico,MEX,2019,12.26
Micronesia (country),FSM,2019,11.93
Moldova,MDA,2019,12.8
Monaco,MCO,2019,16.05
Mongolia,MNG,2019,11.27
Montenegro,MNE,2019,11.63
Morocco,MAR,2019,15.75
Mozambique,MOZ,2019,13.37
Myanmar,MMR,2019,10.89
Namibia,NAM,2019,11.09
Nauru,NRU,2019,11.79
Nepal,NPL,2019,13.83
Netherlands,NLD,2019,16.6
New Zealand,NZL,2019,19.04
Nicaragua,NIC,2019,13.27
Niger,NER,2019,11.63
Nigeria,NGA,2019,10.72
Niue,NIU,2019,11.77
North Korea,PRK,2019,11.81
North Macedonia,MKD,2019,11.34
Northern Mariana Islands,MNP,2019,11.24
Norway,NOR,2019,15.98
Oman,OMN,2019,13.73
Pakistan,PAK,2019,13.08
Palau,PLW,2019,11.65
Palestine,PSE,2019,18.14
Panama,PAN,2019,12.18
Papua New Guinea,PNG,2019,11.91
Paraguay,PRY,2019,15.84
Peru,PER,2019,13.82
Philippines,PHL,2019,11.94
Poland,POL,2019,10.6
Portugal,PRT,2019,18.45
Puerto Rico,PRI,2019,14.24
Qatar,QAT,2019,13.63
Romania,ROU,2019,11.1
Russia,RUS,2019,11.32
Rwanda,RWA,2019,13.08
Saint Kitts and Nevis,KNA,2019,15.1
Saint Lucia,LCA,2019,14.47
Saint Vincent and the Grenadines,VCT,2019,14.45
Samoa,WSM,2019,11.59
San Marino,SMR,2019,15.94
Sao Tome and Principe,STP,2019,11
Saudi Arabia,SAU,2019,13.7
Senegal,SEN,2019,11
Serbia,SRB,2019,11.38
Seychelles,SYC,2019,10.86
Sierra Leone,SLE,2019,12.33
Slovakia,SVK,2019,11.21
Slovenia,SVN,2019,11.63
Solomon Islands,SLB,2019,12.23
Somalia,SOM,2019,14.36
South Africa,ZAF,2019,12.01
South Sudan,SSD,2019,13.31
Spain,ESP,2019,18.32
Sri Lanka,LKA,2019,11.45
Sudan,SDN,2019,15.99
Suriname,SUR,2019,15.45
Sweden,SWE,2019,15.33
Switzerland,CHE,2019,17.07
Syria,SYR,2019,16.28
Taiwan,TWN,2019,10.6
Tajikistan,TJK,2019,11.04
Tanzania,TZA,2019,12.58
Thailand,THA,2019,12.04
Timor,TLS,2019,11.24
Togo,TGO,2019,12.31
Tokelau,TKL,2019,11.81
Tonga,TON,2019,11.54
Trinidad and Tobago,TTO,2019,14.58
Tunisia,TUN,2019,16.08
Turkey,TUR,2019,14.4
Turkmenistan,TKM,2019,10.53
Tuvalu,TUV,2019,12.14
Uganda,UGA,2019,14.59
Ukraine,UKR,2019,12.4
United Arab Emirates,ARE,2019,12.53
United Kingdom,GBR,2019,15.13
United States,USA,2019,16.93
United States Virgin Islands,VIR,2019,14.6
Uruguay,URY,2019,14.15
Uzbekistan,UZB,2019,10.56
Vanuatu,VUT,2019,11.97
Venezuela,VEN,2019,13.59
Vietnam,VNM,2019,9.52
Yemen,YEM,2019,16.4
Zambia,ZMB,2019,12.11
Zimbabwe,ZWE,2019,11.12
